,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
102,FIRST PREMIER BANK,First PREMIER Bank Mastercard Secured_9230,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,Yes,"""1""",F,19.9,19.9,19.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,50.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"$8.00 or 5%, whichever is greater",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Return Item Charged,$39.00 ,This fee is charged when a customer's payment is returned by their bank (i.e. non sufficient funds),Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account,Credit Limit Increase Fee,$25.00 ,When a customer requests and is approved for a credit limit increase.  The fee is 25% of the amount of the credit limit increase.,Federal Express Delivery Fee,$35.00 ,If a customer request to have their card mailed to them Federal Express,Copy Fee,$3.00 ,If a customer requests a copy of their billing statement.,,,,,Access to Free Credit Scores; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
103,FIRST PREMIER BANK,First PREMIER Bank Mastercard Secured_9226,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,Yes,"""1""",F,19.9,19.9,19.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,50.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"$8.00 or 5%, whichever is greater",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Return Item Charged,$39.00 ,This fee is charged when a customer's payment is returned by their bank (i.e. non sufficient funds),Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account,Credit Limit Increase Fee,$25.00 ,When a customer requests and is approved for a credit limit increase.  The fee is 25% of the amount of the credit limit increase.,Federal Express Delivery Fee,$35.00 ,If a customer request to have their card mailed to them Federal Express,Copy Fee,$3.00 ,If a customer requests a copy of their billing statement.,,,,,Access to Free Credit Scores; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
104,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9205,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,125.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$95.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
105,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9231,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,125.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,Program Fee,$95.00 ,"If a consumer is approved for the credit card account, the Program Fee is required to be paid prior to the account being opened.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,PREMIER Credit Protection (this is an optional payment protection product),$0.89 ,"If a customer requests to be enrolled in the PREMIER Credit Protection Plan, the cost is $0.89 per $100 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
106,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9224,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,125.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,Program Fee,$95.00 ,"If a consumer is approved for the credit card account, the Program Fee is required to be paid prior to the account being opened.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,PREMIER Credit Protection (this is an optional payment protection product),$0.89 ,"If a customer requests to be enrolled in the PREMIER Credit Protection Plan, the cost is $0.89 per $100 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
107,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9112,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,249.8,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$95.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
108,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9234,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,249.8,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,Program Fee,$95.00 ,"If a consumer is approved for the credit card account, the Program Fee is required to be paid prior to the account being opened.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,PREMIER Credit Protection (this is an optional payment protection product),$0.89 ,"If a customer requests to be enrolled in the PREMIER Credit Protection Plan, the cost is $0.89 per $100 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
109,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9111,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$95.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
110,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9078,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$95.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
113,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9233,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,198.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,Program Fee,$95.00 ,"If a consumer is approved for the credit card account, the Program Fee is required to be paid prior to the account being opened.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,PREMIER Credit Protection (this is an optional payment protection product),$0.89 ,"If a customer requests to be enrolled in the PREMIER Credit Protection Plan, the cost is $0.89 per $100 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
115,FIRST PREMIER BANK,First PREMIER Bank Mastercard Gold_9113,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,149.2,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5.00% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a customer requests to add an authorized user to their account.,Program Fee,$75.00 ,"When a consumer is approved for the credit card, the Program Fee is paid prior to the account being opened.",Credit Limit Increase Fee,$25.00 ,"If a customer requests a credit limit increase, and is approved, the fee is 25% of the amount of the approved credit limit increase.",Return Item Charge,$39.00 ,Is charged when a customer's payment is returned for non-sufficient funds.,PREMIER Credit Protection (Optional Payment Protection Plan),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100.00 of the customer's ending monthly balance.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/14/2023
116,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9236,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,149.2,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,Is charged when a customer requests to add an authorized user to the account,PREMIER Credit Protection (optional payment protection),$0.89 ,"If a customer elects to enroll in PREMIER Credit Protection, the charge is $0.89 per $100 of the ending monthly balance.",Credit Limit Increase,$25.00 ,When a customer requests to be reviewed for a credit limit increase and the increase is subsequently approved.   The fee is 25% of the amount of the credit limit increase.,Return Check Fee,$39.00 ,Is charged when a customer's payment is returned by the bank for non sufficient funds.,Program Fee,$75.00 ,"If customer is approved for a credit card, this fee is paid before the account is opened.",,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,MasterCard offers Identity Theft Protection,,,Contactless Payments; Chip card,,Phone,,1-888-987-5521,4/14/2023
119,ORIENTAL BANK,Oriental Mastercard Gold,PR,No,"""23""",V,999.0,20.95,18.95,Yes,999.0,1.99,1.99,6.0,999.0,0.0,0.0,12.0,Yes,Yes,30.0,Yes,$1.50 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,Min $2 - Max $10 not exceeding 2%,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,Min $2 - Max $10 not exceeding 2%,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,25.0,35.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Extension on manufacturer’s warranty; Other,"ID Theft Protection, Purchase Protection, Master Card Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning; Other,Secured Lock,Phone,,939-236-3318,4/14/2023
120,PINNACLE BANK,Consumer Platinum Rewards,,No,"""23""",V,999.0,20.99,14.19,No,999.0,999.0,999.0,,999.0,20.99,14.19,999.0,Yes,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.50%,,,,,,,25.0,35.0,No,,,,,,,,Yes,No,Return Payment,$25.00 ,"$25 is charged for the first returned payment in a 6 month period.  If an Account payment is returned unpaid more than once in a six month period, the amount of your Returned Payment Fee will increase to $35. If none of your Account payments are returned ",,,,,,,,,,,,,,,,,Automobile rental insurance; Other,"ID Theft Protection, Airport Concierge",Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning; Other,Text Alerts,Phone; Website,https://pnfp.myapexcard.com/,8556747637,4/14/2023
121,SYNCHRONY FINANCIAL,"AEO, Inc. Visa Card",,No,"""23""",V,999.0,28.24,26.74,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Debt cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,,,,Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Various Network Benefits,Other rewards,Points,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://www.ae.com/realrewards/Terms,1-800-340-0532,4/16/2023
123,"TD BANK USA, NATIONAL ASSOCIATION",Nordstrom Visa Platinum,,No,"""23""",V,999.0,28.9,21.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$0.50 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,5.00%,$10.00 ,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,Yes,No,Returned Payment Fee,$29.00 ,"If any payment on my Credit Card Account (such as a check, draft, or similar instrument, or any electronic fund transfer) is uncollectible or is dishonored for any reason, TD Bank may charge me and I agree to pay a Returned Payment Fee of up to $29. The a",,,,,,,,,,,,,,,,,Other,Visa provided benefits,Other rewards,Earn Nordstrom Notes which can only be redeemed at Nordstrom,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.nordstromcard.com,1-800-964-1800,4/14/2023
125,SYNCHRONY FINANCIAL,At Home Insider Perks Mastercard,,No,"""23""",V,999.0,29.24,27.74,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Various Network Benefits,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.athome.com/creditcard.html,1-855-411-4729,4/16/2023
126,SYNCHRONY FINANCIAL,Belk Rewards Mastercard,,No,"""23""",F,999.0,25.49,25.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,No,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Various Mastercard network benefits,Other rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.belk.com/customer-service/rewards/,,4/14/2023
